Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance in Ohms @ 25°C","Resistance Tolerance","B Value Tolerance","B0/50","B25/50","B25/75","B25/85","B25/100","Operating Temperature","Power - Max","Length - Lead Wire","Mounting Type","Package / Case"
https://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF52A473J3950.JPG,317-1364-ND,MF52A1473J3950,Cantherm,THERMISTOR NTC 47KOHM 3950K BEAD,1232,0,"0.43000","0","1","Bulk","MF52","Active","47k","±5%","±1%","-","3950K","-","-","-","-55°C ~ 125°C","50mW","-","Through Hole","Bead"
http://www.vishay.com/docs/33008/nths.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/NTHS%200603%20(1608metric).jpg,541-3524-2-ND,NTHS0603N02N6801JE,Vishay Dale,THERM NTC 6.8KOHM 3477K 0603,4000,0,"0.43395","0","2000","Tape & Reel (TR)","NTHS","Active","6.8k","±5%","±3%","-","-","3477K","-","-","-","-","-","Surface Mount","0603 (1608 Metric)"
http://www.vishay.com/docs/33008/nths.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/NTHS%200603%20(1608metric).jpg,541-3524-1-ND,NTHS0603N02N6801JE,Vishay Dale,THERM NTC 6.8KOHM 3477K 0603,5986,0,"1.20000","0","1","Cut Tape (CT)","NTHS","Active","6.8k","±5%","±3%","-","-","3477K","-","-","-","-","-","Surface Mount","0603 (1608 Metric)"
http://www.vishay.com/docs/33008/nths.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/NTHS%200603%20(1608metric).jpg,541-3524-6-ND,NTHS0603N02N6801JE,Vishay Dale,THERM NTC 6.8KOHM 3477K 0603,5986,0,"Digi-Reel","0","1","Digi-Reel®","NTHS","Active","6.8k","±5%","±3%","-","-","3477K","-","-","-","-","-","Surface Mount","0603 (1608 Metric)"
http://www.vishay.com/docs/33008/nths.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/NTHS%200603%20(1608metric).jpg,541-1118-2-ND,NTHS0603N11N3002JE,Vishay Dale,THERMISTOR NTC 30KOHM 3700K 0603,3088,0,"0.43395","0","2000","Tape & Reel (TR)","NTHS","Active","30k","±5%","±3%","-","-","3700K","-","-","-","-","-","Surface Mount","0603 (1608 Metric)"
http://www.vishay.com/docs/33008/nths.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/NTHS%200603%20(1608metric).jpg,541-1118-1-ND,NTHS0603N11N3002JE,Vishay Dale,THERMISTOR NTC 30KOHM 3700K 0603,3088,0,"1.20000","0","1","Cut Tape (CT)","NTHS","Active","30k","±5%","±3%","-","-","3700K","-","-","-","-","-","Surface Mount","0603 (1608 Metric)"
http://www.vishay.com/docs/33008/nths.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/NTHS%200603%20(1608metric).jpg,541-1118-6-ND,NTHS0603N11N3002JE,Vishay Dale,THERMISTOR NTC 30KOHM 3700K 0603,3088,0,"Digi-Reel","0","1","Digi-Reel®","NTHS","Active","30k","±5%","±3%","-","-","3700K","-","-","-","-","-","Surface Mount","0603 (1608 Metric)"
http://www.vishay.com/docs/33008/nths.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/NTHS%200805%20(2012metric).jpg,541-1140-2-ND,NTHS0805N17N1003JE,Vishay Dale,THERM NTC 100KOHM 4064K 0805,1893,0,"0.44385","0","2000","Tape & Reel (TR)","NTHS","Active","100k","±5%","±3%","-","-","4064K","-","-","-","-","-","Surface Mount","0805 (2012 Metric)"
http://www.vishay.com/docs/33008/nths.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/NTHS%200805%20(2012metric).jpg,541-1140-1-ND,NTHS0805N17N1003JE,Vishay Dale,THERM NTC 100KOHM 4064K 0805,1893,0,"1.14000","0","1","Cut Tape (CT)","NTHS","Active","100k","±5%","±3%","-","-","4064K","-","-","-","-","-","Surface Mount","0805 (2012 Metric)"
http://www.vishay.com/docs/33008/nths.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/NTHS%200805%20(2012metric).jpg,541-1140-6-ND,NTHS0805N17N1003JE,Vishay Dale,THERM NTC 100KOHM 4064K 0805,1893,0,"Digi-Reel","0","1","Digi-Reel®","NTHS","Active","100k","±5%","±3%","-","-","4064K","-","-","-","-","-","Surface Mount","0805 (2012 Metric)"
http://www.vishay.com/docs/29119/ntcse3t.pdf,//media.digikey.com/Renders/Vishay%20BC%20Renders/0805.jpg,BC2905TR-ND,NTCS0805E3104SMT,Vishay BC Components,THERM NTC 100KOHM 3590K 0805,4000,0,"0.44632","0","4000","Tape & Reel (TR)","Automotive, AEC-Q200, NTCS0805E","Active","100k","±1%","±1%","-","-","-","3590K","-","-40°C ~ 125°C","210mW","-","Surface Mount","0805 (2012 Metric)"
http://www.vishay.com/docs/29119/ntcse3t.pdf,//media.digikey.com/Renders/Vishay%20BC%20Renders/0805.jpg,BC2905CT-ND,NTCS0805E3104SMT,Vishay BC Components,THERM NTC 100KOHM 3590K 0805,6927,0,"1.27000","0","1","Cut Tape (CT)","Automotive, AEC-Q200, NTCS0805E","Active","100k","±1%","±1%","-","-","-","3590K","-","-40°C ~ 125°C","210mW","-","Surface Mount","0805 (2012 Metric)"
http://www.vishay.com/docs/29119/ntcse3t.pdf,//media.digikey.com/Renders/Vishay%20BC%20Renders/0805.jpg,BC2905DKR-ND,NTCS0805E3104SMT,Vishay BC Components,THERM NTC 100KOHM 3590K 0805,6927,0,"Digi-Reel","0","1","Digi-Reel®","Automotive, AEC-Q200, NTCS0805E","Active","100k","±1%","±1%","-","-","-","3590K","-","-40°C ~ 125°C","210mW","-","Surface Mount","0805 (2012 Metric)"
http://www.vishay.com/docs/33008/nths.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/NTHS%201206%20(3216metric).jpg,541-1144-2-ND,NTHS1206N01N1003JE,Vishay Dale,THERM NTC 100KOHM 3964K 1206,12000,0,"0.50820","0","2000","Tape & Reel (TR)","NTHS","Active","100k","±5%","±3%","-","-","3964K","3974K","-","-40°C ~ 125°C","-","-","Surface Mount","1206 (3216 Metric)"
http://www.vishay.com/docs/33008/nths.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/NTHS%201206%20(3216metric).jpg,541-1144-1-ND,NTHS1206N01N1003JE,Vishay Dale,THERM NTC 100KOHM 3964K 1206,13091,0,"1.41000","0","1","Cut Tape (CT)","NTHS","Active","100k","±5%","±3%","-","-","3964K","3974K","-","-40°C ~ 125°C","-","-","Surface Mount","1206 (3216 Metric)"
http://www.vishay.com/docs/33008/nths.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/NTHS%201206%20(3216metric).jpg,541-1144-6-ND,NTHS1206N01N1003JE,Vishay Dale,THERM NTC 100KOHM 3964K 1206,13091,0,"Digi-Reel","0","1","Digi-Reel®","NTHS","Active","100k","±5%","±3%","-","-","3964K","3974K","-","-40°C ~ 125°C","-","-","Surface Mount","1206 (3216 Metric)"
http://www.vishay.com/docs/33008/nths.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/NTHS%201206%20(3216metric).jpg,541-1152-2-ND,NTHS1206N04N2003JE,Vishay Dale,THERM NTC 200KOHM 4247K 1206,2000,0,"0.50820","0","2000","Tape & Reel (TR)","NTHS","Active","200k","±5%","±3%","-","-","4247K","-","-","-","-","-","Surface Mount","1206 (3216 Metric)"
http://www.vishay.com/docs/33008/nths.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/NTHS%201206%20(3216metric).jpg,541-1152-1-ND,NTHS1206N04N2003JE,Vishay Dale,THERM NTC 200KOHM 4247K 1206,3880,0,"1.41000","0","1","Cut Tape (CT)","NTHS","Active","200k","±5%","±3%","-","-","4247K","-","-","-","-","-","Surface Mount","1206 (3216 Metric)"
http://www.vishay.com/docs/33008/nths.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/NTHS%201206%20(3216metric).jpg,541-1152-6-ND,NTHS1206N04N2003JE,Vishay Dale,THERM NTC 200KOHM 4247K 1206,3880,0,"Digi-Reel","0","1","Digi-Reel®","NTHS","Active","200k","±5%","±3%","-","-","4247K","-","-","-","-","-","Surface Mount","1206 (3216 Metric)"
http://www.vishay.com/docs/29049/ntcle100.pdf,//media.digikey.com/Renders/Vishay%20BC%20Renders/NTCLE%202-0k%205per.jpg,BC2523-ND,NTCLE100E3202JB0,Vishay BC Components,THERMISTOR NTC 2KOHM 3528K BEAD,39424,0,"0.69000","0","1","Bulk","-","Active","2k","±5%","±0.5%","-","-","-","3528K","-","-40°C ~ 125°C","500mW","0.59"" (15.00mm)","Through Hole","Bead"
http://www.vishay.com/docs/29049/ntcle100.pdf,//media.digikey.com/photos/Vishay%20Photos/Vishay-2381%20640%2063223.jpg,BC2305-ND,NTCLE100E3223JB0,Vishay BC Components,THERMISTOR NTC 22KOHM 3740K BEAD,9688,0,"0.69000","0","1","Bulk","-","Active","22k","±5%","±2%","-","-","-","3740K","-","-40°C ~ 125°C","500mW","0.59"" (15.00mm)","Through Hole","Bead"
http://www.vishay.com/docs/29049/ntcle100.pdf,//media.digikey.com/Photos/Vishay%20Photos/NTCLE100E3479JB0.jpg,BC2431-ND,NTCLE100E3479JB0,Vishay BC Components,THERMISTOR NTC 47OHM 3390K BEAD,7479,0,"0.69000","0","1","Bulk","-","Active","47","±5%","±3%","-","-","-","3390K","-","-40°C ~ 125°C","500mW","0.55"" (14.00mm)","Through Hole","Bead"
http://www.vishay.com/docs/29049/ntcle100.pdf,//media.digikey.com/Renders/Vishay%20BC%20Renders/NTCLE%201-5k%205per.jpg,BC2521-ND,NTCLE100E3152JB0,Vishay BC Components,THERM NTC 1.5KOHM 3528K BEAD,5415,0,"0.69000","0","1","Bulk","-","Active","1.5k","±5%","±0.5%","-","-","-","3528K","-","-40°C ~ 125°C","500mW","0.59"" (15.00mm)","Through Hole","Bead"
http://www.vishay.com/docs/29049/ntcle100.pdf,//media.digikey.com/photos/Vishay%20Photos/NTCLE100E3224JB0.JPG,BC2306-ND,NTCLE100E3224JB0,Vishay BC Components,THERM NTC 220KOHM 4370K BEAD,3695,0,"0.69000","0","1","Bulk","-","Active","220k","±5%","±2.5%","-","-","-","4370K","-","-40°C ~ 125°C","500mW","0.59"" (15.00mm)","Through Hole","Bead"
http://www.vishay.com/docs/29049/ntcle100.pdf,//media.digikey.com/Photos/Vishay%20BC%20Photos/NTCLE100E3338JB0.jpg,BC2547-ND,NTCLE100E3338JB0,Vishay BC Components,THERMISTOR NTC 3.3OHM 2880K BEAD,3619,0,"0.69000","0","1","Bulk","-","Active","3.3","±5%","±3%","-","-","-","2880K","-","-40°C ~ 125°C","500mW","0.55"" (14.00mm)","Through Hole","Bead"
