Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance in Ohms @ 25°C","Resistance Tolerance","B Value Tolerance","B0/50","B25/50","B25/75","B25/85","B25/100","Operating Temperature","Power - Max","Length - Lead Wire","Mounting Type","Package / Case"
-,//media.digikey.com/Photos/US%20Sensor%20Photos/MFG_USP18967.jpg,USP18967-ND,USP18967,Littelfuse Inc.,THERMISTOR NTC 10KOHM 3977K CLIP,0,0,"Active","0","0","-","USP","Active","10k","±1%","-","-","-","-","3977K","-","105°C","-","240.00"" (6.09m)","Clip On","Pipe Sensor Assembly"
-,-,P20AAA102M-ND,P20AAA102M,Amphenol Advanced Sensors,THERMISTOR NTC 1KOHM BEAD,0,0,"Obsolete","0","150","Bulk","-","Obsolete","1k","±20%","-","-","-","-","-","-","-","20mW","0.24"" (6.30mm)","Through Hole","Bead"
"//media.digikey.com/pdf/Data%20Sheets/Vishay%20Dale%20PDFs/T,M,C_Series_Rev_May_2017.pdf",-,01M1002SFC2-ND,01M1002SFC2,Vishay Dale,THERMISTOR NTC 10KOHM 3964K BEAD,0,0,"Obsolete","0","0","Bulk","M","Obsolete","10k","-","±1%","-","-","3964K","3974K","-","-40°C ~ 125°C","75mW","-","Through Hole","Bead"
"//media.digikey.com/pdf/Data%20Sheets/Vishay%20Dale%20PDFs/T,M,C_Series_Rev_May_2017.pdf",-,02C1001SFB2-ND,02C1001SFB2,Vishay Dale,THERMISTOR NTC 1KOHM BEAD,0,0,"Obsolete","0","0","Bulk","C","Obsolete","1k","-","-","-","-","-","-","-","-","-","1.42"" (36.00mm)","Free Hanging","Bead"
"//media.digikey.com/pdf/Data%20Sheets/Vishay%20Dale%20PDFs/T,M,C_Series_Rev_May_2017.pdf",-,03M2200JF-ND,03M2200JF,Vishay Dale,THERMISTOR NTC 220OHM,0,0,"Obsolete","0","0","Bulk","M","Obsolete","220","±5%","-","-","-","-","-","-","-","-","1.50"" (38.00mm)","Through Hole","-"
"//media.digikey.com/pdf/Data%20Sheets/Vishay%20Dale%20PDFs/T,M,C_Series_Rev_May_2017.pdf",-,03T2200JF-ND,03T2200JF,Vishay Dale,THERMISTOR NTC 220OHM BEAD,0,0,"Obsolete","0","0","Bulk","T","Obsolete","220","±5%","-","-","-","-","-","-","-","-","1.50"" (38.00mm)","Free Hanging","Bead"
"//media.digikey.com/pdf/Data%20Sheets/Vishay%20Dale%20PDFs/T,M,C_Series_Rev_May_2017.pdf",-,04T1003MF-ND,04T1003MF,Vishay Dale,THERMISTOR NTC 100KOHM,0,0,"Obsolete","0","0","-","T","Obsolete","100k","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/r03e.ashx?la=en-us,-,NCU18XH103E06RB-ND,NCU18XH103E06RB,Murata Electronics,THERMISTOR NTC 10KOHM 3380K 0603,0,0,"Preliminary","0","0","Tape & Reel (TR)","NCU","Preliminary","10k","±3%","±1%","-","3380K","-","3434K","3455K","-40°C ~ 125°C","100mW","-","Surface Mount","0603 (1608 Metric)"
-,//media.digikey.com/Photos/US%20Sensor%20Photos/MFG_USP3275.jpg,USP3275-ND,USP3275,Littelfuse Inc.,THERM NTC 10KOHM 3892K PROBE,0,0,"Active","0","0","-","USP","Active","10k","±5%","-","3892K","-","-","-","-","105°C","-","55.00"" (1.39m)","Free Hanging","Cylindrical Probe, Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Epcos%20PDFs/B57423V2473H062.pdf,-,495-76306-2-ND,B57423V2473H062,TDK Electronics Inc.,THERM NTC 4.7KOHM 4000K 0805,0,0,"Active","0","0","Tape & Reel (TR)","-","Active","4.7k","±5%","±3%","-","-","-","-","4000K","-55°C ~ 125°C","210mW","-","Surface Mount","0805 (2012 Metric)"
//media.digikey.com/pdf/Data%20Sheets/Epcos%20PDFs/B57423V2473H062.pdf,-,495-76306-1-ND,B57423V2473H062,TDK Electronics Inc.,THERM NTC 4.7KOHM 4000K 0805,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","4.7k","±5%","±3%","-","-","-","-","4000K","-55°C ~ 125°C","210mW","-","Surface Mount","0805 (2012 Metric)"
-,//media.digikey.com/Renders/Epcos%20Renders/0805(EIA).jpg,495-76308-2-ND,B57431V2474J062,TDK Electronics Inc.,THERMISTOR NTC 470KOHM 0805,0,0,"Active","0","0","Tape & Reel (TR)","B574","Active","470k","±5%","±3%","-","-","-","-","-","-55°C ~ 125°C","-","-","Surface Mount","0805 (2012 Metric)"
-,//media.digikey.com/Renders/Epcos%20Renders/0805(EIA).jpg,495-76308-1-ND,B57431V2474J062,TDK Electronics Inc.,THERMISTOR NTC 470KOHM 0805,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","B574","Discontinued at Digi-Key","470k","±5%","±3%","-","-","-","-","-","-55°C ~ 125°C","-","-","Surface Mount","0805 (2012 Metric)"
