Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance in Ohms @ 25°C","Resistance Tolerance","B Value Tolerance","B0/50","B25/50","B25/75","B25/85","B25/100","Operating Temperature","Power - Max","Length - Lead Wire","Mounting Type","Package / Case"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=112,-,SC50Y503W-ND,SC50Y503W,Amphenol Advanced Sensors,THERMISTOR NTC 50KOHM BEAD,0,0,"3.64925","0","2500","Bulk","SC","Active","50k","±0.2°C","-","-","-","-","-","-","-40°C ~ 150°C","50mW","1.50"" (38.00mm)","-","Bead"
https://www.amphenol-sensors.com/en/component/edocman/328-thermometrics-ntc-thermistors-epoxy-interchangeable-type-95-datasheet/download?Itemid=8466,//media.digikey.com/Photos/Amphenol%20Photos/DC95-Series.jpg,DC95Y103W-ND,DC95Y103W,Amphenol Advanced Sensors,THERMISTOR NTC 10KOHM 3690K BEAD,0,0,"3.66730","0","500","Bulk","DC95","Active","10k","±0.2°C","-","-","-","-","3690K","-","-80°C ~ 150°C","75mW","1.50"" (38.00mm)","Free Hanging","Bead"
https://www.amphenol-sensors.com/en/component/edocman/328-thermometrics-ntc-thermistors-epoxy-interchangeable-type-95-datasheet/download?Itemid=8466,//media.digikey.com/Photos/Amphenol%20Photos/EC95-Series.JPG,EC95F232W-ND,EC95F232W,Amphenol Advanced Sensors,THERM NTC 22.5KOHM 3969K BEAD,0,0,"3.75750","0","500","Bulk","EC95","Active","22.5k","±0.2°C","-","-","-","-","3969K","-","-80°C ~ 150°C","75mW","2.50"" (63.50mm)","Free Hanging","Bead"
https://www.amphenol-sensors.com/en/component/edocman/328-thermometrics-ntc-thermistors-epoxy-interchangeable-type-95-datasheet/download?Itemid=8466,//media.digikey.com/Photos/Amphenol%20Photos/EC95-Series.JPG,EC95R102W-ND,EC95R102W,Amphenol Advanced Sensors,THERMISTOR NTC 1KOHM BEAD,0,0,"3.75750","0","500","Bulk","EC95","Active","1k","±0.2°C","-","-","-","-","-","-","0°C ~ 70°C","75mW","2.50"" (63.50mm)","Free Hanging","Bead"
https://www.amphenol-sensors.com/en/component/edocman/328-thermometrics-ntc-thermistors-epoxy-interchangeable-type-95-datasheet/download?Itemid=8466,//media.digikey.com/Photos/Amphenol%20Photos/EC95-Series.JPG,EC95S102W-ND,EC95S102W,Amphenol Advanced Sensors,THERMISTOR NTC 1KOHM BEAD,0,0,"3.75750","0","500","Bulk","EC95","Active","1k","±0.2°C","-","-","-","-","-","-","0°C ~ 70°C","75mW","2.50"" (63.50mm)","Free Hanging","Bead"
https://www.amphenol-sensors.com/en/component/edocman/328-thermometrics-ntc-thermistors-epoxy-interchangeable-type-95-datasheet/download?Itemid=8466,//media.digikey.com/Photos/Amphenol%20Photos/EC95-Series.JPG,EC95F502W-ND,EC95F502W,Amphenol Advanced Sensors,THERMISTOR NTC 5KOHM 3969K BEAD,0,0,"3.75750","0","500","Bulk","EC95","Active","5k","±0.2°C","-","-","-","-","3969K","-","-80°C ~ 150°C","75mW","2.50"" (63.50mm)","Free Hanging","Bead"
-,-,GA2.2K3A1W3-ND,GA2.2K3A1W3,TE Connectivity Measurement Specialties,NTC THERMISTOR 2.252K OHM,0,0,"3.79250","0","100","-","-","Active","2.25k","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.amphenol-sensors.com/en/component/edocman/328-thermometrics-ntc-thermistors-epoxy-interchangeable-type-95-datasheet/download?Itemid=8466,//media.digikey.com/Photos/Amphenol%20Photos/EC95-Series.JPG,EC95F232VN-ND,EC95F232VN,Amphenol Advanced Sensors,THERM NTC 22.5KOHM 3969K BEAD,0,0,"3.79400","0","1000","Bulk","EC95","Active","22.5k","±0.1°C","-","-","-","-","3969K","-","-80°C ~ 150°C","75mW","2.50"" (63.50mm)","Free Hanging","Bead"
https://www.amphenol-sensors.com/en/component/edocman/328-thermometrics-ntc-thermistors-epoxy-interchangeable-type-95-datasheet/download?Itemid=8466,//media.digikey.com/Photos/Amphenol%20Photos/EC95-Series.JPG,EC95F302VN-ND,EC95F302VN,Amphenol Advanced Sensors,THERMISTOR NTC 3KOHM 3969K BEAD,0,0,"3.79400","0","1000","Bulk","EC95","Active","3k","±0.1°C","-","-","-","-","3969K","-","-80°C ~ 150°C","75mW","2.50"" (63.50mm)","Free Hanging","Bead"
https://www.amphenol-sensors.com/en/component/edocman/328-thermometrics-ntc-thermistors-epoxy-interchangeable-type-95-datasheet/download?Itemid=8466,//media.digikey.com/Photos/Amphenol%20Photos/EC95-Series.JPG,EC95H303VN-ND,EC95H303VN,Amphenol Advanced Sensors,THERMISTOR NTC 30KOHM 3936K BEAD,0,0,"3.79400","0","1000","Bulk","EC95","Active","30k","±0.1°C","-","-","-","-","3936K","-","-80°C ~ 150°C","75mW","2.50"" (63.50mm)","Free Hanging","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=112,//media.digikey.com/Photos/Amphenol%20Photos/SC30F103V.JPG,235-1430-ND,SC30Y103WN,Amphenol Advanced Sensors,THERMISTOR NTC 10KOHM 3690K BEAD,0,0,"3.83488","0","2500","Bulk","SC","Active","10k","±0.2°C","-","-","-","-","3690K","-","-40°C ~ 105°C","30mW","1.50"" (38.00mm)","-","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=112,-,SC30F232W-ND,SC30F232W,Amphenol Advanced Sensors,THERM NTC 2.252KOHM 3969K BEAD,0,0,"3.83488","0","2500","Bulk","SC","Active","2.252k","±0.2°C","-","-","-","-","3969K","-","-40°C ~ 105°C","30mW","1.50"" (38.00mm)","-","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=112,-,SC30F302W-ND,SC30F302W,Amphenol Advanced Sensors,THERMISTOR NTC 3KOHM 3969K BEAD,0,0,"3.83488","0","2500","Bulk","SC","Active","3k","±0.2°C","-","-","-","-","3969K","-","-40°C ~ 105°C","30mW","1.50"" (38.00mm)","-","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=112,-,SC30F502W-ND,SC30F502W,Amphenol Advanced Sensors,THERMISTOR NTC 5KOHM 3969K BEAD,0,0,"3.83488","0","2500","Bulk","SC","Active","5k","±0.2°C","-","-","-","-","3969K","-","-40°C ~ 105°C","30mW","1.50"" (38.00mm)","-","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=112,-,SC30G104W-ND,SC30G104W,Amphenol Advanced Sensors,THERM NTC 100KOHM 4252K BEAD,0,0,"3.83488","0","2500","Bulk","SC","Active","100k","±0.2°C","-","-","-","-","4252K","-","-40°C ~ 105°C","30mW","1.50"" (38.00mm)","-","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=112,-,SC30G503W-ND,SC30G503W,Amphenol Advanced Sensors,THERMISTOR NTC 50KOHM 4252K BEAD,0,0,"3.83488","0","2500","Bulk","SC","Active","50k","±0.2°C","-","-","-","-","4252K","-","-40°C ~ 105°C","30mW","1.50"" (38.00mm)","-","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=112,-,SC30H303W-ND,SC30H303W,Amphenol Advanced Sensors,THERMISTOR NTC 30KOHM 3936K BEAD,0,0,"3.83488","0","2500","Bulk","SC","Active","30k","±0.2°C","-","-","-","-","3936K","-","-40°C ~ 105°C","30mW","1.50"" (38.00mm)","-","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=112,-,SC30Y104W-ND,SC30Y104W,Amphenol Advanced Sensors,THERM NTC 100KOHM 3699K BEAD,0,0,"3.83488","0","2500","Bulk","SC","Active","100k","±0.2°C","-","-","-","-","3699K","-","-40°C ~ 105°C","30mW","1.50"" (38.00mm)","-","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=112,-,SC50F232W-ND,SC50F232W,Amphenol Advanced Sensors,THERM NTC 2.252KOHM 3969K BEAD,0,0,"3.83488","0","2500","Bulk","SC","Active","2.252k","±0.2°C","-","-","-","-","3969K","-","-40°C ~ 105°C","50mW","1.50"" (38.00mm)","-","Bead"
