Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Element Type","Temperature Range","Length - Lead Wire","Conductor Type","Terminal Type"
https://www.cynergy3.com/sites/default/files/ITT%202018.pdf,//media.digikey.com/Photos/Cynergy%203/ITTK300A.jpg,725-1742-ND,ITTK200A,Cynergy 3,TEMP PROBE K TYPE 6X200MM 1/4"" B,2,0,"210.98000","0","1","-","ITT","Active","K - Type","0 ~ 1350°C","-","Non-Grounded","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITT%202018.pdf,//media.digikey.com/Photos/Cynergy%203/ITTK300A.jpg,725-1743-ND,ITTK300A,Cynergy 3,TEMP PROBE K TYPE 6X300MM 1/4"" B,2,0,"210.98000","0","1","-","ITT","Active","K - Type","0 ~ 1350°C","-","Non-Grounded","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITT%202018.pdf,//media.digikey.com/Photos/Cynergy%203/ITTK300A.jpg,725-1744-ND,ITTK400A,Cynergy 3,TEMP PROBE K TYPE 6X400MM 1/4"" B,2,0,"210.98000","0","1","-","ITT","Active","K - Type","0 ~ 1350°C","-","Non-Grounded","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITTU%202018.pdf,-,725-1751-ND,ITTUJ200A,Cynergy 3,TEMP PROBE J TYPE 6X200MM 1/4""NP,2,0,"210.98000","0","1","-","ITTU","Active","J - Type","0 ~ 1200°C","-","Non-Grounded","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITTU%202018.pdf,-,725-1752-ND,ITTUJ300A,Cynergy 3,TEMP PROBE J TYPE 6X300MM 1/4""NP,2,0,"210.98000","0","1","-","ITTU","Active","J - Type","0 ~ 1200°C","-","Non-Grounded","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITTU%202018.pdf,-,725-1753-ND,ITTUJ400A,Cynergy 3,TEMP PROBE J TYPE 6X400MM 1/4""NP,2,0,"210.98000","0","1","-","ITTU","Active","J - Type","0 ~ 1200°C","-","Non-Grounded","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITTU%202018.pdf,-,725-1754-ND,ITTUK150A,Cynergy 3,TEMP PROBE K TYPE 6X150MM 1/4""NP,2,0,"210.98000","0","1","-","ITTU","Active","K - Type","0 ~ 1350°C","-","Non-Grounded","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITTU%202018.pdf,-,725-1755-ND,ITTUK200A,Cynergy 3,TEMP PROBE K TYPE 6X200MM 1/4""NP,2,0,"210.98000","0","1","-","ITTU","Active","K - Type","0 ~ 1350°C","-","Non-Grounded","Enclosed Terminals"
-,//media.digikey.com/Photos/National%20Control%20Devices/MFG_PR55-19A.jpg,2273-PR55-19A-ND,PR55-19A,ncd.io,2-CHANNEL TEMPERATURE SENSOR,5,0,"249.95000","0","1","Box","PR55","Active","K - Type","-","-","-","-"
https://www.cynergy3.com/sites/default/files/ITT%202018.pdf,//media.digikey.com/Photos/Cynergy%203/ITTK300A.jpg,725-1732-ND,ITTP100A,Cynergy 3,TEMP PROBE PT100 6X100MM 1/4"" BS,2,0,"253.18000","0","1","-","ITT","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITT%202018.pdf,//media.digikey.com/Photos/Cynergy%203/ITTK300A.jpg,725-1733-ND,ITTP150A,Cynergy 3,TEMP PROBE PT100 6X150MM 1/4"" BS,2,0,"253.18000","0","1","-","ITT","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITT%202018.pdf,//media.digikey.com/Photos/Cynergy%203/ITTK300A.jpg,725-1734-ND,ITTP200A,Cynergy 3,TEMP PROBE PT100 6X200MM 1/4"" BS,2,0,"253.18000","0","1","-","ITT","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITT%202018.pdf,//media.digikey.com/Photos/Cynergy%203/ITTK300A.jpg,725-1735-ND,ITTP250A,Cynergy 3,TEMP PROBE PT100 6X250MM 1/4"" BS,2,0,"253.18000","0","1","-","ITT","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITT%202018.pdf,//media.digikey.com/Photos/Cynergy%203/ITTK300A.jpg,725-1736-ND,ITTP300A,Cynergy 3,TEMP PROBE PT100 6X300MM 1/4"" BS,2,0,"253.18000","0","1","-","ITT","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITT%202018.pdf,//media.digikey.com/Photos/Cynergy%203/ITTK300A.jpg,725-1737-ND,ITTP400A,Cynergy 3,TEMP PROBE PT100 6X400MM 1/4"" BS,2,0,"253.18000","0","1","-","ITT","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITTU%202018.pdf,-,725-1745-ND,ITTUP100A,Cynergy 3,TEMP PROBE PT100 6X100MM 1/4""NPT,2,0,"253.18000","0","1","-","ITTU","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITTU%202018.pdf,-,725-1746-ND,ITTUP150A,Cynergy 3,TEMP PROBE PT100 6X150MM 1/4""NPT,2,0,"253.18000","0","1","-","ITTU","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITTU%202018.pdf,-,725-1747-ND,ITTUP200A,Cynergy 3,TEMP PROBE PT100 6X200MM 1/4""NPT,2,0,"253.18000","0","1","-","ITTU","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITTU%202018.pdf,-,725-1748-ND,ITTUP250A,Cynergy 3,TEMP PROBE PT100 6X250MM 1/4""NPT,2,0,"253.18000","0","1","-","ITTU","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITTU%202018.pdf,-,725-1749-ND,ITTUP300A,Cynergy 3,TEMP PROBE PT100 6X300MM 1/4""NPT,2,0,"253.18000","0","1","-","ITTU","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/ITTU%202018.pdf,-,725-1750-ND,ITTUP400A,Cynergy 3,TEMP PROBE PT100 6X400MM 1/4""NPT,2,0,"253.18000","0","1","-","ITTU","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
