Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Element Type","Temperature Range","Length - Lead Wire","Conductor Type","Terminal Type"
https://www.comet-america.com/pdf/SNP03,-,2283-SNP03-ND,SNP03,"Comet America, LP",EXTENSION CABLE THERMOCOUPLE K,20,0,"30.00000","0","1","-","*","Active","-","-","-","-","-"
https://www.comet-america.com/pdf/SN124,-,2283-SN124-ND,SN124,"Comet America, LP","100-60, AIR TEMP WITH NI1000",20,0,"35.00000","0","1","-","*","Active","-","-","-","-","-"
https://www.comet-america.com/pdf/SN250V,-,2283-SN250V-ND,SN250V,"Comet America, LP",PT1000TR160/0 PROBE FOR COMETEO,20,0,"35.00000","0","1","-","*","Active","-","-","-","-","-"
https://www.comet-america.com/pdf/SN199,-,2283-SN199-ND,SN199,"Comet America, LP","PT1000TR160/0, TEMP PROBE  1 M",20,0,"35.00000","0","1","-","*","Active","-","-","-","-","-"
https://www.comet-america.com/pdf/SN177,-,2283-SN177-ND,SN177,"Comet America, LP","200-80/C, AIR TEMPERATURE PROBE",20,0,"35.00000","0","1","-","*","Active","-","-","-","-","-"
https://www.comet-america.com/pdf/SN200,-,2283-SN200-ND,SN200,"Comet America, LP","PT1000TR160/0,TEMP PROBE  2 M",20,0,"35.00000","0","1","-","*","Active","-","-","-","-","-"
https://www.comet-america.com/pdf/SN201,-,2283-SN201-ND,SN201,"Comet America, LP","PT1000TR160/0, TEMP PROBE  5 M",20,0,"40.00000","0","1","-","*","Active","-","-","-","-","-"
https://www.comet-america.com/pdf/SN185,-,2283-SN185-ND,SN185,"Comet America, LP","PT1000TGL40/0, TEMP PROBE, 1 M",20,0,"40.00000","0","1","-","*","Active","-","-","-","-","-"
https://www.comet-america.com/pdf/SN243M,-,2283-SN243M-ND,SN243M,"Comet America, LP","200-80/M, AIR TEMPERATURE PROBE",20,0,"40.00000","0","1","-","*","Active","-","-","-","-","-"
https://www.comet-america.com/pdf/SN199C,-,2283-SN199C-ND,SN199C,"Comet America, LP","PT1000TR160/C, TEMP PROBE  1 M",20,0,"40.00000","0","1","-","*","Active","-","-","-","-","-"
