Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance in Ohms @ 25°C","Resistance Tolerance","B Value Tolerance","B0/50","B25/50","B25/75","B25/85","B25/100","Operating Temperature","Power - Max","Length - Lead Wire","Mounting Type","Package / Case"
https://sensing.honeywell.com/honeywell-sensing-temperature-sensors-line-guide-009033-4-en.pdf,"//media.digikey.com/Photos/Honeywell%20Photos/Series%20135%20(DO-204AH,%20DO-35,%20Axial).jpg",480-3127-ND,135-103FAD-J01,Honeywell Sensing and Productivity Solutions,THERMISTOR NTC 10KOHM 3420K DO35,292,0,"2.60000","0","1","Bulk","135","Active","10k","±10%","±2.3%","3420K","-","-","-","-","-60°C ~ 300°C","-","1.13"" (28.60mm)","Through Hole","DO-204AH, DO-35, Axial"
-,-,570-1180-ND,DG403410,Ametherm,THERMISTOR NTC 40KOHM 4201K BEAD,192,0,"2.63000","0","1","Bulk","*","Active","40k","±5%","±3%","4143K","4201K","4246K","4263K","4280K","-55°C ~ 300°C","30mW","2.56"" (65.00mm)","Through Hole","Bead, Glass"
https://www.littelfuse.com/~/media/electronics/rt_tables/thermistor_probes_and_assemblies/littelfuse_thermistor_probes_assemblies_surface_temperature_sensing_to502j2j_rt_table.xlsx.xlsx,//media.digikey.com/Photos/US%20Sensor%20Photos/TO103J2F.JPG,615-1121-5-ND,TO502J2J,Littelfuse Inc.,THERM NTC 5KOHM 3892K TO220-2,137,500,"2.63000","0","1","Bulk","TO","Active","5k","±5%","-","3892K","-","-","-","-","-55°C ~ 150°C","-","0.53"" (13.49mm)","Through Hole","TO-220-2"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=114,//media.digikey.com/Renders/Amphenol%20Renders/AL03006-Amphenol.jpg,KC012G-ND,AL03006-29.1K-97-G1,Amphenol Advanced Sensors,THERMISTOR NTC 50KOHM 3952K DO35,898,0,"2.66000","0","1","Bulk","AL03006","Active","50k","±10%","-","-","-","-","3952K","-","-50°C ~ 204°C","-","1.15"" (29.20mm)","Through Hole","DO-204AH, DO-35, Axial"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=114,//media.digikey.com/Renders/Amphenol%20Renders/AL03006-Amphenol.jpg,KC013G-ND,AL03006-58.2K-97-G1,Amphenol Advanced Sensors,THERM NTC 100KOHM 3952K DO35,631,0,"2.66000","0","1","Bulk","AL03006","Active","100k","±10%","-","-","-","-","3952K","-","-50°C ~ 204°C","-","1.15"" (29.20mm)","Through Hole","DO-204AH, DO-35, Axial"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=114,//media.digikey.com/Renders/Amphenol%20Renders/AL03006-Amphenol.jpg,KC006G-ND,AL03006-1847-76-G1,Amphenol Advanced Sensors,THERMISTOR NTC 3KOHM 3553K DO35,455,0,"2.66000","0","1","Bulk","AL03006","Active","3k","±10%","-","-","-","-","3553K","-","-50°C ~ 204°C","-","1.15"" (29.20mm)","Through Hole","DO-204AH, DO-35, Axial"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=114,//media.digikey.com/Renders/Amphenol%20Renders/AL03006-Amphenol.jpg,KC003G-ND,AL03006-624-73-G1,Amphenol Advanced Sensors,THERMISTOR NTC 1KOHM 3499K DO35,295,0,"2.66000","0","1","Bulk","AL03006","Active","1k","±10%","-","-","-","-","3499K","-","-50°C ~ 204°C","-","1.15"" (29.20mm)","Through Hole","DO-204AH, DO-35, Axial"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=114,//media.digikey.com/Renders/Amphenol%20Renders/AL03006-Amphenol.jpg,KC007G-ND,AL03006-2463-76-G1,Amphenol Advanced Sensors,THERMISTOR NTC 4KOHM 3553K DO35,72,0,"2.66000","0","1","Bulk","AL03006","Active","4k","±10%","-","-","-","-","3553K","-","-50°C ~ 204°C","-","1.15"" (29.20mm)","Through Hole","DO-204AH, DO-35, Axial"
//media.digikey.com/pdf/Data%20Sheets/Ametherm%20PDFs/Circuuit_Protection_Thermistors_Cat.pdf,-,570-1416-ND,PANR302395,Ametherm,THERMISTOR NTC 3KOHM 3950K BEAD,233,0,"2.68000","0","1","-","PANR","Active","3k","-","-","3950K","-","-","-","-","-","125mW","-","Free Hanging","Bead with Terminal"
//media.digikey.com/pdf/Data%20Sheets/Ametherm%20PDFs/Circuuit_Protection_Thermistors_Cat.pdf,-,570-1415-ND,PANR254450,Ametherm,THERMISTR NTC 250KOHM 4500K BEAD,194,0,"2.68000","0","1","-","PANR","Active","250k","-","-","4500K","-","-","-","-","-","125mW","-","Free Hanging","Bead with Terminal"
