Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance in Ohms @ 25°C","Resistance Tolerance","B Value Tolerance","B0/50","B25/50","B25/75","B25/85","B25/100","Operating Temperature","Power - Max","Length - Lead Wire","Mounting Type","Package / Case"
http://www.vishay.com/docs/29049/ntcle100.pdf,-,NTCLE100E3683HT1-ND,NTCLE100E3683HT1,Vishay BC Components,THERM NTC 360KOHM 3977K BEAD,0,0,"0.32261","0","3000","Tape & Reel (TR)","-","Active","360k","±3%","±0.5%","-","-","-","3977K","-","-40°C ~ 125°C","500mW","0.59"" (15.00mm)","Through Hole","Bead"
//media.digikey.com/pdf/Data%20Sheets/Ametherm%20PDFs/NT0515291E2001.pdf,//media.digikey.com/Photos/Ametherm%20Photos/MFG_NT05.jpg,570-1089-ND,NT05 15291,Ametherm,THERM NTC 1.5KOHM 3934K DISC,0,0,"0.32300","0","500","Bulk","NT05","Active","1.5k","±10%","±3%","3892K","3934K","3960K","3988K","3999K","-50°C ~ 150°C","450mW","0.98"" (25.00mm)","Through Hole","Disc, 5.0mm Dia x 3.0mm W"
https://www.ametherm.com/datasheetspdf/NT03%2050169.pdf,//media.digikey.com/Photos/Ametherm%20Photos/MFG_NT03.jpg,570-1090-ND,NT03 50169,Ametherm,THERMISTOR NTC 500OHM 3485K DISC,0,0,"0.32300","0","500","Bulk","NT03","Active","500","±10%","±3%","3445K","3485K","3512K","3521K","3532K","-50°C ~ 150°C","500mW","0.98"" (25.00mm)","Through Hole","Disc, 3.2mm Dia x 3.2mm W"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us,//media.digikey.com/Photos/Murata%20Photos/NXRT15%20Series.JPG,NXRT15WF104FA5B035-ND,NXRT15WF104FA5B035,Murata Electronics,THERM NTC 100KOHM 4250K BEAD,0,0,"0.32340","0","500","Tape & Reel (TR)","NXR","Active","100k","±1%","±1%","-","4250K","-","4311K","4334K","-40°C ~ 125°C","7.5mW","-","Through Hole","Bead"
https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Leaded_disks_K164.pdf,//media.digikey.com/Photos/Epcos%20Photos/B57164K474J.jpg,B57164K472J3-ND,B57164K472J3,TDK Electronics Inc.,THERM NTC 4.7KOHM 3950K DISC,0,0,"0.32358","0","1000","Bulk","-","Active","4.7k","±5%","±3%","-","-","-","-","3950K","-55°C ~ 125°C","450mW","-","Through Hole","Disc, 5.5mm Dia x 5.0mm W"
-,-,478-NB21P00154J---ND,NB21P00154J--,AVX Corporation,NTC - THERMISTOR,0,0,"0.32395","0","5000","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us,//media.digikey.com/Photos/Murata%20Photos/NXRT15%20Series.JPG,NXRT15XH103FA5B035-ND,NXRT15XH103FA5B035,Murata Electronics,THERMISTOR NTC 10KOHM 3380K BEAD,0,0,"0.32400","0","500","Tape & Reel (TR)","NXR","Active","10k","±1%","±1%","-","3380K","-","3434K","3455K","-40°C ~ 125°C","7.5mW","-","Through Hole","Bead"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us,//media.digikey.com/Photos/Murata%20Photos/NXRT15%20Series.JPG,NXRT15WF104FA5B040-ND,NXRT15WF104FA5B040,Murata Electronics,THERM NTC 100KOHM 4250K BEAD,0,0,"0.32440","0","500","Tape & Reel (TR)","NXR","Active","100k","±1%","±1%","-","4250K","-","4311K","4334K","-40°C ~ 125°C","7.5mW","-","Through Hole","Bead"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ntc/r44e.ashx?la=en-us,//media.digikey.com/Photos/Murata%20Photos/NXRT15%20Series.JPG,NXRT15WF104FA5B045-ND,NXRT15WF104FA5B045,Murata Electronics,THERM NTC 100KOHM 4250K BEAD,0,0,"0.32540","0","500","Tape & Reel (TR)","NXR","Active","100k","±1%","±1%","-","4250K","-","4311K","4334K","-40°C ~ 125°C","7.5mW","-","Through Hole","Bead"
-,-,490-NXRT15WF104FA5B050-ND,NXRT15WF104FA5B050,Murata Electronics,THERMISTOR NTC,0,0,"0.32540","0","500","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,490-NXRT15XH103FA5B050-ND,NXRT15XH103FA5B050,Murata Electronics,THERMISTOR NTC,0,0,"0.32560","0","500","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,490-NXFT15XM202GA1B080-ND,NXFT15XM202GA1B080,Murata Electronics,THERMISTOR NTC,0,0,"0.32708","0","1000","-","*","Not For New Designs","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,490-NXFT15XM202GA1B070-ND,NXFT15XM202GA1B070,Murata Electronics,THERMISTOR NTC,0,0,"0.32708","0","1000","-","*","Not For New Designs","-","-","-","-","-","-","-","-","-","-","-","-","-"
