Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance @ 25°C","Resistance Tolerance","Operating Temperature","Power - Max","Mounting Type","Package / Case","Supplier Device Package"
-,-,B59901D60A40Z5-ND,B59901D60A40Z5,TDK Electronics Inc.,PTC THERMISTOR,0,0,"Obsolete","0","0","-","B59901","Obsolete","100 Ohms","-","90°C ~ 130°C","-","PCB, Through Hole","Radial","-"
-,-,B59901D80A40N-ND,B59901D80A40N,TDK Electronics Inc.,PTC THERMISTOR,0,0,"Obsolete","0","0","-","B59901","Obsolete","100 Ohms","-","90°C ~ 130°C","-","PCB, Through Hole","Radial","-"
-,-,B59901D80A40V30-ND,B59901D80A40V30,TDK Electronics Inc.,PTC THERMISTOR,0,0,"Obsolete","0","0","-","B59901","Obsolete","100 Ohms","-","-","-","-","-","-"
-,-,B59901D80A40Z-ND,B59901D80A40Z,TDK Electronics Inc.,PTC THERMISTOR,0,0,"Obsolete","0","0","-","B59901","Obsolete","100 Ohms","-","90°C ~ 130°C","-","PCB, Through Hole","Radial","-"
-,-,B59901D80A40Z15-ND,B59901D80A40Z15,TDK Electronics Inc.,PTC THERMISTOR,0,0,"Obsolete","0","0","-","B59901","Obsolete","100 Ohms","-","90°C ~ 130°C","-","PCB, Through Hole","Radial","-"
-,-,B59901D80A40Z5-ND,B59901D80A40Z5,TDK Electronics Inc.,PTC THERMISTOR,0,0,"Obsolete","0","0","-","B59901","Obsolete","100 Ohms","-","-","-","-","-","-"
-,-,B59972R225B10-ND,B59972R225B10,TDK Electronics Inc.,PTC THERMISTOR,0,0,"Obsolete","0","0","-","-","Obsolete","-","-","-","-","-","-","-"
-,-,B59154C1130B140-ND,B59154C1130B140,TDK Electronics Inc.,PTC THERMISTOR,0,0,"Obsolete","0","0","-","-","Obsolete","-","-","-","-","-","-","-"
-,-,B59154C1130B140Z15-ND,B59154C1130B140Z15,TDK Electronics Inc.,PTC THERMISTOR,0,0,"Obsolete","0","0","-","-","Obsolete","-","-","-","-","-","-","-"
-,-,B59154C1130B151Z-ND,B59154C1130B151Z,TDK Electronics Inc.,PTC THERMISTOR,0,0,"Obsolete","0","0","-","-","Obsolete","50 Ohms","-","-","-","-","-","-"
-,-,B59154C1130B151Z15-ND,B59154C1130B151Z15,TDK Electronics Inc.,PTC THERMISTOR,0,0,"Obsolete","0","0","-","-","Obsolete","50 Ohms","-","-","-","-","-","-"
