Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance @ 25°C","Resistance Tolerance","Operating Temperature","Power - Max","Mounting Type","Package / Case","Supplier Device Package"
https://www.murata.com/en-us/products/productdata/8796723314718/PTHAT35.pdf,//media.digikey.com/photos/Murata%20Photos/490-PTC%20RESET%200603%20SERIES.jpg,490-2463-1-ND,PRF18BB471QB1RB,Murata Electronics,THERMISTOR PTC 470 OHM 50% 0603,0,0,"Obsolete","0","1","Cut Tape (CT)","POSISTOR® PRF18/21","Obsolete","470 Ohms","±50%","-20°C ~ 140°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.murata.com/en-us/products/productdata/8796723314718/PTHAT35.pdf,//media.digikey.com/photos/Murata%20Photos/490-PTC%20RESET%200603%20SERIES.jpg,490-2463-6-ND,PRF18BB471QB1RB,Murata Electronics,THERMISTOR PTC 470 OHM 50% 0603,0,0,"Digi-Reel","0","1","Digi-Reel®","POSISTOR® PRF18/21","Obsolete","470 Ohms","±50%","-20°C ~ 140°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ptc/r90e.ashx?la=en,//media.digikey.com/photos/Murata%20Photos/490-PTC%20RESET%200603%20SERIES.jpg,490-2464-2-ND,PRF18BC471QB1RB,Murata Electronics,THERMISTOR PTC 470 OHM 50% 0603,0,0,"Obsolete","0","4000","Tape & Reel (TR)","POSISTOR® PRF18/21","Obsolete","470 Ohms","±50%","-20°C ~ 130°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ptc/r90e.ashx?la=en,//media.digikey.com/photos/Murata%20Photos/490-PTC%20RESET%200603%20SERIES.jpg,490-2464-1-ND,PRF18BC471QB1RB,Murata Electronics,THERMISTOR PTC 470 OHM 50% 0603,0,0,"Obsolete","0","1","Cut Tape (CT)","POSISTOR® PRF18/21","Obsolete","470 Ohms","±50%","-20°C ~ 130°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/thermistor/ptc/r90e.ashx?la=en,//media.digikey.com/photos/Murata%20Photos/490-PTC%20RESET%200603%20SERIES.jpg,490-2464-6-ND,PRF18BC471QB1RB,Murata Electronics,THERMISTOR PTC 470 OHM 50% 0603,0,0,"Digi-Reel","0","1","Digi-Reel®","POSISTOR® PRF18/21","Obsolete","470 Ohms","±50%","-20°C ~ 130°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.murata.com/en-us/products/productdata/8796723314718/PTHAT35.pdf,//media.digikey.com/photos/Murata%20Photos/490-PTC%20RESET%200603%20SERIES.jpg,490-2465-2-ND,PRF18BD471QB1RB,Murata Electronics,THERMISTOR PTC 470 OHM 50% 0603,0,0,"Obsolete","0","4000","Tape & Reel (TR)","POSISTOR® PRF18/21","Obsolete","470 Ohms","±50%","-20°C ~ 120°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.murata.com/en-us/products/productdata/8796723314718/PTHAT35.pdf,//media.digikey.com/photos/Murata%20Photos/490-PTC%20RESET%200603%20SERIES.jpg,490-2465-1-ND,PRF18BD471QB1RB,Murata Electronics,THERMISTOR PTC 470 OHM 50% 0603,0,0,"Obsolete","0","1","Cut Tape (CT)","POSISTOR® PRF18/21","Obsolete","470 Ohms","±50%","-20°C ~ 120°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.murata.com/en-us/products/productdata/8796723314718/PTHAT35.pdf,//media.digikey.com/photos/Murata%20Photos/490-PTC%20RESET%200603%20SERIES.jpg,490-2465-6-ND,PRF18BD471QB1RB,Murata Electronics,THERMISTOR PTC 470 OHM 50% 0603,0,0,"Digi-Reel","0","1","Digi-Reel®","POSISTOR® PRF18/21","Obsolete","470 Ohms","±50%","-20°C ~ 120°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.murata.com/en-us/products/productdata/8796723314718/PTHAT35.pdf,//media.digikey.com/photos/Murata%20Photos/490-PTC%20RESET%200603%20SERIES.jpg,490-2466-2-ND,PRF18BE471QB1RB,Murata Electronics,THERMISTOR PTC 470 OHM 50% 0603,0,0,"Obsolete","0","4000","Tape & Reel (TR)","POSISTOR® PRF18/21","Obsolete","470 Ohms","±50%","-20°C ~ 110°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.murata.com/en-us/products/productdata/8796723314718/PTHAT35.pdf,//media.digikey.com/photos/Murata%20Photos/490-PTC%20RESET%200603%20SERIES.jpg,490-2466-1-ND,PRF18BE471QB1RB,Murata Electronics,THERMISTOR PTC 470 OHM 50% 0603,0,0,"Obsolete","0","1","Cut Tape (CT)","POSISTOR® PRF18/21","Obsolete","470 Ohms","±50%","-20°C ~ 110°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.murata.com/en-us/products/productdata/8796723314718/PTHAT35.pdf,//media.digikey.com/photos/Murata%20Photos/490-PTC%20RESET%200603%20SERIES.jpg,490-2466-6-ND,PRF18BE471QB1RB,Murata Electronics,THERMISTOR PTC 470 OHM 50% 0603,0,0,"Digi-Reel","0","1","Digi-Reel®","POSISTOR® PRF18/21","Obsolete","470 Ohms","±50%","-20°C ~ 110°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.murata.com/en-us/products/productdata/8796723314718/PTHAT35.pdf,//media.digikey.com/photos/Murata%20Photos/490-PTC%20RESET%200603%20SERIES.jpg,490-2467-2-ND,PRF18BF471QB1RB,Murata Electronics,THERMISTOR PTC 470 OHM 50% 0603,0,0,"Obsolete","0","4000","Tape & Reel (TR)","POSISTOR® PRF18/21","Obsolete","470 Ohms","±50%","-20°C ~ 100°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.murata.com/en-us/products/productdata/8796723314718/PTHAT35.pdf,//media.digikey.com/photos/Murata%20Photos/490-PTC%20RESET%200603%20SERIES.jpg,490-2467-1-ND,PRF18BF471QB1RB,Murata Electronics,THERMISTOR PTC 470 OHM 50% 0603,0,0,"Obsolete","0","1","Cut Tape (CT)","POSISTOR® PRF18/21","Obsolete","470 Ohms","±50%","-20°C ~ 100°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.murata.com/en-us/products/productdata/8796723314718/PTHAT35.pdf,//media.digikey.com/photos/Murata%20Photos/490-PTC%20RESET%200603%20SERIES.jpg,490-2467-6-ND,PRF18BF471QB1RB,Murata Electronics,THERMISTOR PTC 470 OHM 50% 0603,0,0,"Digi-Reel","0","1","Digi-Reel®","POSISTOR® PRF18/21","Obsolete","470 Ohms","±50%","-20°C ~ 100°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.murata.com/en-us/products/productdata/8796723314718/PTHAT35.pdf,//media.digikey.com/photos/Murata%20Photos/490-PTC%20RESET%200603%20SERIES.jpg,490-2468-2-ND,PRF18BG471QB1RB,Murata Electronics,THERMISTOR PTC 470 OHM 50% 0603,0,0,"Obsolete","0","4000","Tape & Reel (TR)","POSISTOR® PRF18/21","Obsolete","470 Ohms","±50%","-20°C ~ 90°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
