Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance in Ohms @ 25°C","Resistance Tolerance","B Value Tolerance","B0/50","B25/50","B25/75","B25/85","B25/100","Operating Temperature","Power - Max","Length - Lead Wire","Mounting Type","Package / Case"
https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/0402%20(1005%20Metric).jpg,P123980DKR-ND,ERT-J0EP683F,Panasonic Electronic Components,MULTILAYER NTC CHIP THERMISTOR,9975,0,"Digi-Reel","0","1","Digi-Reel®","ERT-J","Active","68k","±1%","±1%","-","4050K","-","4100K","-","-40°C ~ 125°C","66mW","-","Surface Mount","0402 (1005 Metric)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/0402%20(1005%20Metric).jpg,P123974TR-ND,ERT-J0EP333F,Panasonic Electronic Components,MULTILAYER NTC CHIP THERMISTOR,0,0,"0.04133","0","10000","Tape & Reel (TR)","ERT-J","Active","33k","±1%","±1%","-","4050K","-","4100K","-","-40°C ~ 125°C","66mW","-","Surface Mount","0402 (1005 Metric)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/0402%20(1005%20Metric).jpg,P123974CT-ND,ERT-J0EP333F,Panasonic Electronic Components,MULTILAYER NTC CHIP THERMISTOR,9348,0,"0.14000","0","1","Cut Tape (CT)","ERT-J","Active","33k","±1%","±1%","-","4050K","-","4100K","-","-40°C ~ 125°C","66mW","-","Surface Mount","0402 (1005 Metric)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/0402%20(1005%20Metric).jpg,P123974DKR-ND,ERT-J0EP333F,Panasonic Electronic Components,MULTILAYER NTC CHIP THERMISTOR,9348,0,"Digi-Reel","0","1","Digi-Reel®","ERT-J","Active","33k","±1%","±1%","-","4050K","-","4100K","-","-40°C ~ 125°C","66mW","-","Surface Mount","0402 (1005 Metric)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/0402%20(1005%20Metric).jpg,P124009TR-ND,ERT-J0EV224F,Panasonic Electronic Components,MULTILAYER NTC CHIP THERMISTOR,0,0,"0.04133","0","10000","Tape & Reel (TR)","ERT-J","Active","220k","±1%","±1%","-","4700K","-","4750K","-","-40°C ~ 125°C","66mW","-","Surface Mount","0402 (1005 Metric)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/0402%20(1005%20Metric).jpg,P124009CT-ND,ERT-J0EV224F,Panasonic Electronic Components,MULTILAYER NTC CHIP THERMISTOR,8247,0,"0.14000","0","1","Cut Tape (CT)","ERT-J","Active","220k","±1%","±1%","-","4700K","-","4750K","-","-40°C ~ 125°C","66mW","-","Surface Mount","0402 (1005 Metric)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/0402%20(1005%20Metric).jpg,P124009DKR-ND,ERT-J0EV224F,Panasonic Electronic Components,MULTILAYER NTC CHIP THERMISTOR,8247,0,"Digi-Reel","0","1","Digi-Reel®","ERT-J","Active","220k","±1%","±1%","-","4700K","-","4750K","-","-40°C ~ 125°C","66mW","-","Surface Mount","0402 (1005 Metric)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/0402%20(1005%20Metric).jpg,P123971TR-ND,ERT-J0EM103F,Panasonic Electronic Components,MULTILAYER NTC CHIP THERMISTOR,0,0,"0.04133","0","10000","Tape & Reel (TR)","ERT-J","Active","10k","±1%","±2%","-","3900K","-","3970K","-","-40°C ~ 125°C","66mW","-","Surface Mount","0402 (1005 Metric)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/0402%20(1005%20Metric).jpg,P123971CT-ND,ERT-J0EM103F,Panasonic Electronic Components,MULTILAYER NTC CHIP THERMISTOR,8220,0,"0.14000","0","1","Cut Tape (CT)","ERT-J","Active","10k","±1%","±2%","-","3900K","-","3970K","-","-40°C ~ 125°C","66mW","-","Surface Mount","0402 (1005 Metric)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/0402%20(1005%20Metric).jpg,P123971DKR-ND,ERT-J0EM103F,Panasonic Electronic Components,MULTILAYER NTC CHIP THERMISTOR,8220,0,"Digi-Reel","0","1","Digi-Reel®","ERT-J","Active","10k","±1%","±2%","-","3900K","-","3970K","-","-40°C ~ 125°C","66mW","-","Surface Mount","0402 (1005 Metric)"
