Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance in Ohms @ 25°C","Resistance Tolerance","B Value Tolerance","B0/50","B25/50","B25/75","B25/85","B25/100","Operating Temperature","Power - Max","Length - Lead Wire","Mounting Type","Package / Case"
https://www.cantherm.com/wp-content/uploads/2017/05/CMF_11x17_AUGUST_2014.pdf,//media.digikey.com/Renders/Cantherm%20Renders/0603%281608%29.jpg,317-1481-6-ND,CMFB3435472JNT,Cantherm,THERM NTC 4.7KOHM 3435K 0805,0,0,"Digi-Reel","0","1","Digi-Reel®","CMF","Discontinued at Digi-Key","4.7k","±5%","-","-","3435K","-","-","-","-40°C ~ 125°C","200mW","-","Surface Mount","0805 (2012 Metric)"
https://www.cantherm.com/wp-content/uploads/2017/05/CMF_11x17_AUGUST_2014.pdf,//media.digikey.com/Renders/Cantherm%20Renders/0603%281608%29.jpg,317-1484-2-ND,CMFB3900223JNT,Cantherm,THERMISTOR NTC 22KOHM 3900K 0805,0,0,"0.14411","0","4000","Tape & Reel (TR)","CMF","Active","22k","±5%","-","-","3900K","-","-","-","-40°C ~ 125°C","200mW","-","Surface Mount","0805 (2012 Metric)"
https://www.cantherm.com/wp-content/uploads/2017/05/CMF_11x17_AUGUST_2014.pdf,//media.digikey.com/Renders/Cantherm%20Renders/0603%281608%29.jpg,317-1479-2-ND,CMFA4100564JNT,Cantherm,THERM NTC 560KOHM 4100K 0603,0,0,"0.14754","0","4000","Tape & Reel (TR)","CMF","Active","560k","±5%","-","-","4100K","-","-","-","-40°C ~ 125°C","100mW","-","Surface Mount","0603 (1608 Metric)"
https://www.cantherm.com/wp-content/uploads/2017/05/CMF_11x17_AUGUST_2014.pdf,//media.digikey.com/Renders/Cantherm%20Renders/0603%281608%29.jpg,317-1485-2-ND,CMFB4055333JNT,Cantherm,THERMISTOR NTC 33KOHM 4055K 0805,0,0,"0.14754","0","4000","Tape & Reel (TR)","CMF","Active","33k","±5%","-","-","4055K","-","-","-","-40°C ~ 125°C","200mW","-","Surface Mount","0805 (2012 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%200805%20pkg.jpg",NC12K00103KBB-ND,NC12K00103KBB,AVX Corporation,THERMISTOR NTC 10KOHM 3630K 0805,0,0,"0.14858","0","4000","Tape & Reel (TR)","NC12","Active","10k","±10%","±3%","-","-","-","3630K","-","-55°C ~ 150°C","120mW","-","Surface Mount","0805 (2012 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%200805%20pkg.jpg",NC12L00153KBB-ND,NC12L00153KBB,AVX Corporation,THERMISTOR NTC 15KOHM 3790K 0805,0,0,"0.14858","0","4000","Tape & Reel (TR)","NC12","Active","15k","±10%","±3%","-","-","-","3790K","-","-55°C ~ 150°C","120mW","-","Surface Mount","0805 (2012 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%200805%20pkg.jpg",NC12N00683KBB-ND,NC12N00683KBB,AVX Corporation,THERMISTOR NTC 68KOHM 4080K 0805,0,0,"0.14858","0","4000","Tape & Reel (TR)","NC12","Active","68k","±10%","±3%","-","-","-","4080K","-","-55°C ~ 150°C","120mW","-","Surface Mount","0805 (2012 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%200805%20pkg.jpg",NC12P00104KBB-ND,NC12P00104KBB,AVX Corporation,THERM NTC 100KOHM 4220K 0805,0,0,"0.14858","0","4000","Tape & Reel (TR)","NC12","Active","100k","±10%","±3%","-","-","-","4220K","-","-55°C ~ 150°C","120mW","-","Surface Mount","0805 (2012 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%201206%20(3216%20Metric).jpg",NC20I00332KBA-ND,NC20I00332KBA,AVX Corporation,THERM NTC 3.3KOHM 3210K 1206,0,0,"0.14858","0","3000","Tape & Reel (TR)","NC20","Active","3.3k","±10%","±5%","-","-","-","3210K","-","-55°C ~ 150°C","240mW","-","Surface Mount","1206 (3216 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%201206%20(3216%20Metric).jpg",NC20J00472KBA-ND,NC20J00472KBA,AVX Corporation,THERM NTC 4.7KOHM 3480K 1206,0,0,"0.14858","0","3000","Tape & Reel (TR)","NC20","Active","4.7k","±10%","±3%","-","-","-","3480K","-","-55°C ~ 150°C","240mW","-","Surface Mount","1206 (3216 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%201206%20(3216%20Metric).jpg",NC20KC0101KBA-ND,NC20KC0101KBA,AVX Corporation,THERMISTOR NTC 100OHM 3470K 1206,0,0,"0.14858","0","3000","Tape & Reel (TR)","NC20","Active","100","±10%","±5%","-","-","-","3470K","-","-55°C ~ 150°C","240mW","-","Surface Mount","1206 (3216 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%201206%20(3216%20Metric).jpg",NC20KC0470KBA-ND,NC20KC0470KBA,AVX Corporation,THERMISTOR NTC 47OHM 3470K 1206,0,0,"0.14858","0","3000","Tape & Reel (TR)","NC20","Active","47","±10%","±5%","-","-","-","3470K","-","-55°C ~ 150°C","240mW","-","Surface Mount","1206 (3216 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%201206%20(3216%20Metric).jpg",NC20L00223KBA-ND,NC20L00223KBA,AVX Corporation,THERMISTOR NTC 22OHM 3790K 1206,0,0,"0.14858","0","3000","Tape & Reel (TR)","NC20","Active","22","±10%","±3%","-","-","-","3790K","-","-55°C ~ 150°C","240mW","-","Surface Mount","1206 (3216 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%201206%20(3216%20Metric).jpg",NC20M00273KBA-ND,NC20M00273KBA,AVX Corporation,THERMISTOR NTC 27KOHM 3950K 1206,0,0,"0.14858","0","3000","Tape & Reel (TR)","NC20","Active","27k","±10%","±3%","-","-","-","3950K","-","-55°C ~ 150°C","240mW","-","Surface Mount","1206 (3216 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%201206%20(3216%20Metric).jpg",NC20M00333KBA-ND,NC20M00333KBA,AVX Corporation,THERMISTOR NTC 33KOHM 3950K 1206,0,0,"0.14858","0","3000","Tape & Reel (TR)","NC20","Active","33k","±10%","±3%","-","-","-","3950K","-","-55°C ~ 150°C","240mW","-","Surface Mount","1206 (3216 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%201206%20(3216%20Metric).jpg",NC20N00104KBA-ND,NC20N00104KBA,AVX Corporation,THERM NTC 100KOHM 4080K 1206,0,0,"0.14858","0","3000","Tape & Reel (TR)","NC20","Active","100k","±10%","±3%","-","-","-","4080K","-","-55°C ~ 150°C","240mW","-","Surface Mount","1206 (3216 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%201206%20(3216%20Metric).jpg",NC20N00563KBA-ND,NC20N00563KBA,AVX Corporation,THERMISTOR NTC 56KOHM 4080K 1206,0,0,"0.14858","0","3000","Tape & Reel (TR)","NC20","Active","56k","±10%","±3%","-","-","-","4080K","-","-55°C ~ 150°C","240mW","-","Surface Mount","1206 (3216 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%201206%20(3216%20Metric).jpg",NC20N00823KBA-ND,NC20N00823KBA,AVX Corporation,THERMISTOR NTC 82KOHM 4080K 1206,0,0,"0.14858","0","3000","Tape & Reel (TR)","NC20","Active","82k","±10%","±3%","-","-","-","4080K","-","-55°C ~ 150°C","240mW","-","Surface Mount","1206 (3216 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%201206%20(3216%20Metric).jpg",NC20Q00474KBA-ND,NC20Q00474KBA,AVX Corporation,THERM NTC 470KOHM 4300K 1206,0,0,"0.14858","0","3000","Tape & Reel (TR)","NC20","Active","470k","±10%","±3%","-","-","-","4300K","-","-55°C ~ 150°C","240mW","-","Surface Mount","1206 (3216 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%201206%20(3216%20Metric).jpg",NC20R00105KBA-ND,NC20R00105KBA,AVX Corporation,THERMISTOR NTC 1MOHM 4400K 1206,0,0,"0.14858","0","3000","Tape & Reel (TR)","NC20","Active","1M","±10%","±3%","-","-","-","4400K","-","-55°C ~ 150°C","240mW","-","Surface Mount","1206 (3216 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%201206%20(3216%20Metric).jpg",NC20R00684KBA-ND,NC20R00684KBA,AVX Corporation,THERM NTC 680KOHM 4400K 1206,0,0,"0.14858","0","3000","Tape & Reel (TR)","NC20","Active","680k","±10%","±3%","-","-","-","4400K","-","-55°C ~ 150°C","240mW","-","Surface Mount","1206 (3216 Metric)"
-,-,478-NC20P00224KBATR-ND,NC20P00224KBA,AVX Corporation,NTC - THERMISTOR,0,0,"0.14858","0","3000","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Epcos%20PDFs/B57620C.pdf,-,B57620C224K62-ND,B57620C224K62,TDK Electronics Inc.,THERM NTC 220KOHM 4230K 0805,0,0,"0.15221","0","50000","Tape & Reel (TR)","-","Active","220k","±10%","±3%","-","4230K","-","4280K","4300K","-55°C ~ 125°C","210mW","-","Surface Mount","0805 (2012 Metric)"
//media.digikey.com/pdf/Data%20Sheets/Epcos%20PDFs/B57620C.pdf,-,B57620C222K62-ND,B57620C222K62,TDK Electronics Inc.,THERM NTC 2.2KOHM 3250K 0805,0,0,"0.15221","0","52000","Tape & Reel (TR)","-","Active","2.2k","±10%","±3%","-","3250K","-","3280K","3300K","-55°C ~ 125°C","210mW","-","Surface Mount","0805 (2012 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%201206%20(3216%20Metric).jpg",NC20L00223K--ND,NC20L00223K--,AVX Corporation,THERMISTOR NTC 22OHM 3790K 1206,0,0,"0.15500","0","5000","Tape & Reel (TR)","NC20","Active","22","±10%","±3%","-","-","-","3790K","-","-55°C ~ 150°C","240mW","-","Surface Mount","1206 (3216 Metric)"
https://www.littelfuse.com/~/media/electronics/datasheets/surface_mount_thermistors/littelfuse_surface_mount_thermistors_end_banded_chip_thermistors_0402_ra_datasheet.pdf.pdf,//media.digikey.com/Photos/US%20Sensor%20Photos/MFG_RA103J0Q.jpg,RA103J0Q-TR-ND,RA103J0Q-TR,Littelfuse Inc.,THERMISTOR NTC 10KOHM 3900K 0402,0,0,"0.15785","0","10000","Bulk","RA","Active","10k","±0.23°C","-","3900K","-","-","-","-","-40°C ~ 125°C","-","-","Surface Mount","0402 (1005 Metric)"
https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_SMD_Standard_series_0805.pdf,//media.digikey.com/Renders/Epcos%20Renders/0805(EIA).jpg,B57421V2152J062-ND,B57421V2152J062,TDK Electronics Inc.,THERM NTC 1.5KOHM 3940K 0805,0,0,"0.15813","0","51000","Tape & Reel (TR)","-","Active","1.5k","±5%","±3%","-","3940K","-","3980K","4000K","-55°C ~ 125°C","210mW","-","Surface Mount","0805 (2012 Metric)"
-,-,495-B57343V5103J360TR-ND,B57343V5103J360,TDK Electronics Inc.,NTC THERMISTOR 0603 10K J60 B-36,0,0,"0.15980","0","4000","-","Automotive, AEC-Q200, B573xxV5","Not For New Designs","10k","±5%","±1%","-","3568K","-","3610K","3624K","-40°C ~ 150°C","180mW","-","Surface Mount","0603 (1608 Metric)"
http://datasheets.avx.com/nc12-20.pdf,"//media.digikey.com/Renders/AVX%20Renders/Thermistor,%200805%20pkg.jpg",NC12M00223K--ND,NC12M00223K--,AVX Corporation,THERMISTOR NTC 22KOHM 3950K 0805,0,0,"0.16275","0","5000","Tape & Reel (TR)","NC12","Active","22k","±10%","±3%","-","-","-","3950K","-","-55°C ~ 150°C","120mW","-","Surface Mount","0805 (2012 Metric)"
https://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF52A472J3470.JPG,317-1256-ND,MF52A472J3470,Cantherm,THERM NTC 4.7KOHM 3470K BEAD,0,0,"0.16312","0","3000","Bulk","MF52","Active","4.7k","±5%","-","-","3470K","-","-","-","-55°C ~ 125°C","50mW","-","Through Hole","Bead"
https://www.cantherm.com/wp-content/uploads/2017/05/cantherm_mf52_1.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF52A683J3950.JPG,317-1263-ND,MF52A683J3950,Cantherm,THERMISTOR NTC 68KOHM 3950K BEAD,0,0,"0.16312","0","3000","Bulk","MF52","Active","68k","±5%","-","-","3950K","-","-","-","-55°C ~ 125°C","50mW","-","Through Hole","Bead"
https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_SMD_Automotive_series_0603.pdf,//media.digikey.com/Renders/Vishay%20BC%20Renders/0603.jpg,B57342V5103J060-ND,B57342V5103J060,TDK Electronics Inc.,THERMISTOR NTC 10KOHM 3590K 0603,0,0,"0.16490","0","4000","Tape & Reel (TR)","Automotive, AEC-Q200","Active","10k","±5%","±3%","-","3590K","-","3635K","3650K","-40°C ~ 150°C","180mW","-","Surface Mount","0603 (1608 Metric)"
-,-,495-B57343V5103H360TR-ND,B57343V5103H360,TDK Electronics Inc.,NTC THERMISTOR 0603 10K H60 B-36,0,0,"0.16490","0","4000","-","Automotive, AEC-Q200, B573xxV5","Not For New Designs","10k","±3%","±1%","-","3568K","-","3610K","3624K","-40°C ~ 150°C","180mW","-","Surface Mount","0603 (1608 Metric)"
https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_SMD_Automotive_series_0603.pdf,//media.digikey.com/Renders/Epcos%20Renders/B57350.jpg,B57352V5473H060-ND,B57352V5473H060,TDK Electronics Inc.,THERMISTOR NTC 47KOHM 4386K 0603,0,0,"0.16750","0","4000","Tape & Reel (TR)","B57350","Active","47k","±3%","±3%","-","4386K","-","4455K","4480K","-40°C ~ 150°C","180mW","-","Surface Mount","0603 (1608 Metric)"
