Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance @ 25°C","Resistance Tolerance","Operating Temperature","Power - Max","Mounting Type","Package / Case","Supplier Device Package"
https://www.tdk-electronics.tdk.com/inf/55/db/PTC/PTC_OC_SMD_0402_0603_1210_24V_230V.pdf,//media.digikey.com/photos/Epcos%20Photos/495-PTC%20RESET%201210.jpg,495-B59622A0090A062TR-ND,B59622A0090A062,TDK Electronics Inc.,THERMISTOR PTC 220 OHM 25% 0603,4000,0,"0.42066","0","4000","Tape & Reel (TR)","-","Active","220 Ohms","±25%","-40°C ~ 125°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.tdk-electronics.tdk.com/inf/55/db/PTC/PTC_OC_SMD_0402_0603_1210_24V_230V.pdf,//media.digikey.com/photos/Epcos%20Photos/495-PTC%20RESET%201210.jpg,495-B59622A0090A062CT-ND,B59622A0090A062,TDK Electronics Inc.,THERMISTOR PTC 220 OHM 25% 0603,4047,0,"1.10000","0","1","Cut Tape (CT)","-","Active","220 Ohms","±25%","-40°C ~ 125°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
https://www.tdk-electronics.tdk.com/inf/55/db/PTC/PTC_OC_SMD_0402_0603_1210_24V_230V.pdf,//media.digikey.com/photos/Epcos%20Photos/495-PTC%20RESET%201210.jpg,495-B59622A0090A062DKR-ND,B59622A0090A062,TDK Electronics Inc.,THERMISTOR PTC 220 OHM 25% 0603,4047,0,"Digi-Reel","0","1","-","-","Active","220 Ohms","±25%","-40°C ~ 125°C","-","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)"
http://www.vishay.com/docs/33017/tfpt.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/CRCW%200603%20%281608metric%29.jpg,541-1164-2-ND,TFPT0603L1000JV,Vishay Dale,THERMISTOR PTC 100 OHM 5% 0603,7000,0,"0.57255","0","1000","Tape & Reel (TR)","TFPT","Active","100 Ohms","±5%","-55°C ~ 125°C","75mW","Surface Mount","0603 (1608 Metric)","0603"
http://www.vishay.com/docs/33017/tfpt.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/CRCW%200603%20%281608metric%29.jpg,541-1164-1-ND,TFPT0603L1000JV,Vishay Dale,THERMISTOR PTC 100 OHM 5% 0603,7640,0,"1.58000","0","1","Cut Tape (CT)","TFPT","Active","100 Ohms","±5%","-55°C ~ 125°C","75mW","Surface Mount","0603 (1608 Metric)","0603"
http://www.vishay.com/docs/33017/tfpt.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/CRCW%200603%20%281608metric%29.jpg,541-1164-6-ND,TFPT0603L1000JV,Vishay Dale,THERMISTOR PTC 100 OHM 5% 0603,7640,0,"Digi-Reel","0","1","Digi-Reel®","TFPT","Active","100 Ohms","±5%","-55°C ~ 125°C","75mW","Surface Mount","0603 (1608 Metric)","0603"
http://www.vishay.com/docs/33017/tfpt.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/CRCW%200603%20%281608metric%29.jpg,541-1166-2-ND,TFPT0603L1001FV,Vishay Dale,THERMISTOR PTC 1K OHM 1% 0603,8833,0,"0.71610","0","1000","Tape & Reel (TR)","TFPT","Active","1 kOhms","±1%","-55°C ~ 125°C","75mW","Surface Mount","0603 (1608 Metric)","0603"
http://www.vishay.com/docs/33017/tfpt.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/CRCW%200603%20%281608metric%29.jpg,541-1166-1-ND,TFPT0603L1001FV,Vishay Dale,THERMISTOR PTC 1K OHM 1% 0603,8833,0,"1.98000","0","1","Cut Tape (CT)","TFPT","Active","1 kOhms","±1%","-55°C ~ 125°C","75mW","Surface Mount","0603 (1608 Metric)","0603"
http://www.vishay.com/docs/33017/tfpt.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/CRCW%200603%20%281608metric%29.jpg,541-1166-6-ND,TFPT0603L1001FV,Vishay Dale,THERMISTOR PTC 1K OHM 1% 0603,8833,0,"Digi-Reel","0","1","Digi-Reel®","TFPT","Active","1 kOhms","±1%","-55°C ~ 125°C","75mW","Surface Mount","0603 (1608 Metric)","0603"
http://www.vishay.com/docs/33017/tfpt.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/TFPT%200805%20(2125metric).jpg,541-1172-2-ND,TFPT0805L1001FV,Vishay Dale,THERMISTOR PTC 1K OHM 1% 0805,2000,0,"0.74085","0","1000","Tape & Reel (TR)","TFPT","Active","1 kOhms","±1%","-55°C ~ 125°C","100mW","Surface Mount","0805 (2125 Metric)","0805"
